vehicle_reg_no,transaction_date_time,lane_direction,toll_plaza_name,toll_plaza_geocode
MH04JU7624,2025-04-22 19:03:07.000,S,Mandva Toll Plaza,"21.7016001,73.0609234"
MH04JU7624,2025-04-24 13:18:06.000,N,Mandva Toll Plaza,"21.7016001,73.0609234"
MH04JU7624,2025-04-22 18:24:04.000,S,L&T Vadodra,"22.015027,73.115049"
MH04JU7624,2025-04-24 01:32:45.000,N,Khaniwade Toll Plaza,"19.519667,72.916898"
MH04JU7624,2025-04-23 02:55:16.000,S,Khaniwade Toll Plaza,"19.519667,72.916898"
MH04LQ5576,2025-04-21 21:02:59.000,N,Vashi Toll Plaza,"19.063952,72.980388"
MH04LQ5576,2025-04-22 21:16:27.000,S,Mulund(EEH),"19.1534,72.9657"
MH04LQ5576,2025-04-23 01:53:26.000,N,Mulund(EEH),"19.1534,72.9657"
MH04LQ5576,2025-04-24 10:18:35.000,N,Ghoti toll plaza,"19.708905,73.614819"
MH04LQ5576,2025-04-24 02:44:59.000,S,Mulund(EEH),"19.1534,72.9657"
MH04LQ5576,2025-04-24 03:37:18.000,N,Arjunalli toll plaza,"19.361481,73.165874"
MH04LQ5576,2025-04-24 11:40:53.000,N,Baswant Toll Plaza,"20.141754,73.9764485"
MH04LY9079,2025-04-22 09:44:16.000,S,Arjunalli toll plaza,"19.361481,73.165874"
MH04LY9079,2025-04-22 12:53:09.000,S,Vashi Toll Plaza,"19.063952,72.980388"
MH04LY9079,2025-04-24 01:06:27.000,N,Vashi Toll Plaza,"19.063952,72.980388"
MH04LY9079,2025-04-22 03:43:53.000,S,Ghoti toll plaza,"19.708905,73.614819"
MH04LY9079,2025-04-22 21:20:12.000,N,Vashi Toll Plaza,"19.063952,72.980388"
MH04LY9079,2025-04-24 15:36:02.000,S,Mulund(EEH),"19.1534,72.9657"
MH04LY9079,2025-04-22 11:57:17.000,N,Mulund(EEH),"19.1534,72.9657"
MH04LY9079,2025-04-23 14:24:57.000,S,Vashi Toll Plaza,"19.063952,72.980388"
MH04LY9079,2025-04-21 18:43:11.000,W,Khalghat Toll Plaza ,"22.173782,75.456797"
MH04LY9079,2025-04-21 19:43:14.000,N,Jamli Toll Pllaza,"21.75667,75.156824"
MH04LY9079,2025-04-21 21:43:16.000,S,Shirpur,"21.319733,74.889272"
MH04LY9079,2025-04-21 22:17:13.000,N,Songir,"21.050768,74.784939"
MH04LY9079,2025-04-21 22:49:00.000,S,Laling toll plaza,"20.833039,74.754271"
MH04LY9079,2025-04-22 01:42:20.000,N,Chandwad toll plaza,"20.325219,74.210736"
MH04LY9079,2025-04-21 21:21:10.000,S,Hadakhed Border Checkpost,"21.2538,74.5846"
MH04LY9079,2025-04-22 02:34:02.000,S,Baswant Toll Plaza,"20.141754,73.9764485"
MH05DK3790,2025-04-21 22:08:43.000,E,Khedi,"26.1029659,74.6849376"
MH05DK3790,2025-04-22 01:29:43.000,E,Jojro Ka Kheda Toll Plaza,"25.082922,74.624379"
MH05DK3790,2025-04-22 03:09:40.000,N,Nimbaheda,"24.6104397,74.6484461"
MH05DK3790,2025-04-23 01:21:11.000,S,Ghoti toll plaza,"19.708905,73.614819"
MH05DK3790,2025-04-22 00:18:02.000,E,Lambiya Kalan,"25.5871683,74.593839"
MH05DK3790,2025-04-22 09:36:23.000,S,Ghatabillod Toll Plaza,"22.644110, 75.568497"
MH05DK3790,2025-04-24 11:53:43.000,W,Khandi Obri Toll Plaza,"23.993636,73.627895"
MH05DK3790,2025-04-22 02:10:20.000,N,Ochadi,"24.8248863,74.6282613"
MH05DK3790,2025-04-23 06:58:39.000,S,Arjunalli toll plaza,"19.361481,73.165874"
MH05DK3790,2025-04-24 07:56:44.000,S,Ranasan Toll Plaza,"23.096350, 72.686190"
MH05DK3790,2025-04-24 07:36:25.000,S,Ramol Toll Plaza,"22.984070, 72.663800"
MH05DK3790,2025-04-24 13:21:42.000,S,Dakan Kotra,"24.500543, 73.720874"
MH05DK3790,2025-04-24 16:02:01.000,W,Jojro Ka Kheda Toll Plaza,"25.082922,74.624379"
MH05DK3790,2025-04-24 02:08:41.000,E,Choryasi Toll Plaza,"21.303367,72.95418"
MH05DK3790,2025-04-22 03:18:37.000,S,Nayagaon,"24.572623,74.761591"
MH05DK3790,2025-04-22 04:59:59.000,S,Piplyamandi,"24.168848,75.013273"
MH05DK3790,2025-04-22 05:50:19.000,S,Manankheda,"23.79626925,75.10225026"
MH05DK3790,2025-04-22 07:21:08.000,S,Chikliya Toll Plaza,"23.2305,75.1270"
MH05DK3790,2025-04-22 08:13:51.000,N,Chokala Toll Plaza,"22.9310,75.2507"
MH05DK3790,2025-04-22 16:21:31.000,W,Khalghat Toll Plaza ,"22.173782,75.456797"
MH05DK3790,2025-04-22 17:33:39.000,N,Jamli Toll Pllaza,"21.75667,75.156824"
MH05DK3790,2025-04-22 19:00:13.000,S,Shirpur,"21.319733,74.889272"
MH05DK3790,2025-04-22 19:37:14.000,N,Songir,"21.050768,74.784939"
MH05DK3790,2025-04-22 20:29:03.000,S,Laling toll plaza,"20.833039,74.754271"
MH05DK3790,2025-04-22 23:07:03.000,N,Chandwad toll plaza,"20.325219,74.210736"
MH05DK3790,2025-04-24 05:31:56.000,S,Vadodara Toll Plaza,"22.413798,73.149308"
MH05DK3790,2025-04-24 14:34:32.000,E,Narayanpura Toll Plaza,"24.613529,74.233079"
MH05DK3790,2025-04-21 16:40:20.000,N,Kishangarh Plaza,"26.595329,74.939169"
MH05DK3790,2025-04-22 18:39:44.000,S,Hadakhed Border Checkpost,"21.2538,74.5846"
MH05DK3790,2025-04-23 22:04:22.000,N,Achhad Border Checkpost,"20.07538,72.913338"
MH05DK3790,2025-04-24 01:11:02.000,N,Boriach Toll Plaza,"20.885548,73.052162"
MH05DK3790,2025-04-23 21:20:54.000,N,Charoti Toll Plaza,"19.890544,72.942644"
MH05DK3790,2025-04-24 00:00:51.000,N,Bhagwada Toll Plaza,"20.43495,72.917204"
MH05DK3790,2025-04-24 09:08:38.000,S,Kathpur Toll Plaza,"23.410181,72.828618"
MH05DK3790,2025-04-24 03:08:22.000,N,Mandva Toll Plaza,"21.7016001,73.0609234"
MH05DK3790,2025-04-22 23:42:05.000,S,Baswant Toll Plaza,"20.141754,73.9764485"
MH05DK3790,2025-04-24 04:09:22.000,N,L&T Vadodra,"22.015027,73.115049"
MH05DK3790,2025-04-24 10:23:50.000,S,Vantada Toll Plaza,"23.61615,73.254472"
MH05DK7105,2025-04-24 04:14:29.000,N,Vashi Toll Plaza,"19.063952,72.980388"
MH05DK7105,2025-04-24 03:51:07.000,S,Kopra Kharghar Toll Plaza,"19.037473, 73.078256"
MH05DK7105,2025-04-24 03:28:38.000,W,Shedung NH48 Toll Plaza,"18.947388,73.178849"
MH05DK7105,2025-04-24 03:34:04.000,W,Shedung Toll Plaza,"18.947199,73.1786522"
MH05DK7105,2025-04-24 02:17:20.000,W,Kusgaon NH48 Toll Plaza,"18.760253,73.439713"
MH05DK8307,2025-04-24 12:26:38.000,N,AMTL-TP-01 Vasna-Iyava,"23.0073, 72.3477"
MH05DK8307,2025-04-24 10:16:10.000,S,AMTL-TP-01 Vasna-Iyava,"23.0073, 72.3477"
MH05DK8307,2025-04-24 14:41:53.000,S,Ramol Toll Plaza,"22.984070, 72.663800"
MH05DK8307,2025-04-21 23:38:42.000,N,Dahisar,"19.2587,72.8718"
MH05DK8307,2025-04-22 12:13:51.000,E,Choryasi Toll Plaza,"21.303367,72.95418"
MH05DK8307,2025-04-22 21:08:46.000,S,Vadodara Toll Plaza,"22.413798,73.149308"
MH05DK8307,2025-04-24 02:37:53.000,E,Bakrol Toll Plaza,"22.935230, 72.519760"
MH05DK8307,2025-04-24 13:14:20.000,W,Bakrol Toll Plaza,"22.935230, 72.519760"
MH05DK8307,2025-04-24 02:52:39.000,N,Sanathal Toll Plaza,"22.974110, 72.473050"
MH05DK8307,2025-04-22 03:03:13.000,N,Achhad Border Checkpost,"20.07538,72.913338"
MH05DK8307,2025-04-22 11:05:34.000,N,Boriach Toll Plaza,"20.885548,73.052162"
MH05DK8307,2025-04-22 01:57:17.000,N,Charoti Toll Plaza,"19.890544,72.942644"
MH05DK8307,2025-04-22 03:55:00.000,N,Bhagwada Toll Plaza,"20.43495,72.917204"
MH05DK8307,2025-04-22 15:46:08.000,N,Mandva Toll Plaza,"21.7016001,73.0609234"
MH05DK8307,2025-04-22 19:26:25.000,N,L&T Vadodra,"22.015027,73.115049"
MH05DK8307,2025-04-22 00:40:42.000,N,Khaniwade Toll Plaza,"19.519667,72.916898"
RJ02GC6101,2025-04-23 11:44:58.000,S,Manoharabad,"17.801103,78.471683"
RJ02GC6101,2025-04-23 21:46:10.000,S,Pippalwada,"19.781093,78.565772"
RJ02GC6101,2025-04-23 22:57:33.000,N,Kelapur,"20.019318,78.540218"
RJ02GC6101,2025-04-23 13:57:21.000,N,Bhiknoor Toll Plaza,"18.20539,78.398299"
RJ02GC6101,2025-04-23 19:42:23.000,S,Rolmamda Toll Plaza,"19.28019,78.409222"
RJ02GC6101,2025-04-23 14:49:26.000,N,Indalwai,"18.538284,78.239718"
RJ02GC6101,2025-04-24 00:24:36.000,N,Daroada,"20.450625,78.755243"
RJ02GC6101,2025-04-24 10:24:52.000,N,Madai Fee Plaza,"22.553803,79.115999"
RJ02GC6101,2025-04-23 03:07:21.000,S,Pullur Toll Plaza,"15.887742,78.016978"
RJ02GC6101,2025-04-23 18:36:13.000,S,Gamjal Toll Plaza,"19.026592,78.362705"
RJ02GC6101,2025-04-22 07:44:20.000,E,Nalluru Devanahalli,"13.206308, 77.765553"
RJ02GC6101,2025-04-22 18:58:30.000,W,Nalluru Devanahalli,"13.206308, 77.765553"
RJ02GC6101,2025-04-23 05:57:29.000,S,Sakapur Toll plaza,"16.5356759,77.9444736"
RJ02GC6101,2025-04-23 09:04:57.000,N,Raikal Toll Plaza,"17.005867,78.194493"
RJ02GC6101,2025-04-23 11:11:15.000,W,Medchal,"17.355345, 78.292706"
RJ02GC6101,2025-04-24 01:35:11.000,N,BORKHEDI TOLL PLAZA,"20.85612,78.963632"
RJ02GC6101,2025-04-24 05:40:46.000,N,NAGPUR BYPASS CHECK TOLL PLAZ,"20.2299353,79.0131934"
RJ02GC6101,2025-04-24 06:25:30.000,N,KAMPTEE KANHAN BYPASS CHECK T,"21.244457,79.2490091"
RJ02GC6101,2025-04-24 07:42:31.000,N,MANSAR TOLL PLAZA,"21.382312,79.25332"
RJ02GC6101,2025-04-24 08:21:39.000,S,Khawasa Toll Plaza,"21.703044,79.433797"
RJ02GC6101,2025-04-24 14:01:30.000,N,Bakori,"22.8436452,79.3582326"
RJ02GC6101,2025-04-24 15:35:27.000,N,Titarpani,"23.217097,79.043014"
RJ02GC6101,2025-04-24 06:58:07.000,N,Ramtek Border Checkpost,"21.255385,79.171631"
RJ02GC6101,2025-04-23 21:58:26.000,S,Pimpalkutti Border Checkpost,"19.504530,78.342330"
RJ02GC6101,2025-04-22 21:08:37.000,N,Bagepalli Toll Plaza,"13.79295,77.764358"
RJ02GC6101,2025-04-22 22:53:50.000,S,Marur Toll Plaza,"14.5020891,77.6312667"
RJ02GC6101,2025-04-23 00:12:35.000,S,Kasepalli Toll Plaza,"15.061754,77.630328"
RJ02GC6101,2025-04-23 02:06:35.000,S,Amakthadu Toll Plaza,"15.486433,77.901078"
RJ02GC6101,2025-04-22 06:41:46.000,N,Hulikunte,"13.2710, 77.3475"
RJ02GC6501,2025-04-23 01:40:26.000,E,Trichy Salem,"11.012859,77.073174"
RJ02GC6501,2025-04-23 00:43:19.000,S,PamPamPallam Toll Plaza,"10.8131538,76.7957998"
RJ02GC6501,2025-04-23 01:18:36.000,E,Pollachi Salem Toll Plaza,"10.921531,76.989327"
RJ02GC6501,2025-04-23 01:48:45.000,E,Neelambur,"11.060944,77.088928"
RJ02GC6501,2025-04-23 01:14:15.000,E,Pollachi Cochin Toll Plaza,"10.914016,76.982178"
RJ02GC6501,2025-04-23 01:38:10.000,E,Trichy Cochin,"11.005088,77.069038"
RJ02GC6501,2025-04-22 23:46:10.000,E,Paniyankara Toll Plaza,"10.590814,76.458274"
RJ02GC6501,2025-04-23 01:06:42.000,E,Madukkarai,"10.895638,76.945815"
RJ02GC6501,2025-04-23 23:40:16.000,W,Omalur Toll Plaza,"11.72034,78.07338"
RJ02GC6501,2025-04-23 13:48:31.000,E,IVRCL Chengapally Tollways Li,"11.012852,77.073167"
RJ02GC6501,2025-04-23 17:10:18.000,E,Vijayamangalam Toll Plaza,"11.245714,77.519702"
RJ02GC6501,2025-04-24 00:36:12.000,S,L&T Krishnagiri Thopur Toll P,"12.00638,78.08008"
RJ02GC6501,2025-04-24 06:42:58.000,W,Nalluru Devanahalli,"13.206308, 77.765553"
RJ02GC6501,2025-04-24 03:24:26.000,S,Krishnagiri Plaza,"12.544583,78.201132"
RJ02GC6501,2025-04-23 22:52:24.000,E,Vaiguntham Toll Plaza,"11.513282,77.923946"
RJ02GC6501,2025-04-24 09:31:58.000,N,Bagepalli Toll Plaza,"13.79295,77.764358"
RJ02GC6501,2025-04-24 13:50:16.000,S,Marur Toll Plaza,"14.5020891,77.6312667"
RJ02GC6501,2025-04-24 15:09:29.000,S,Kasepalli Toll Plaza,"15.061754,77.630328"
RJ02GD1001,2025-04-24 06:40:24.000,N,Baroli Toll Plaza,"22.816212,75.848384"
RJ02GD1001,2025-04-24 05:40:49.000,N,Ninora Toll Plaza,"23.0815536,75.8156813"
RJ02GD1001,2025-04-23 19:08:59.000,S,Indragarh Toll Plaza,"25.743931, 76.168992"
RJ02GD1001,2025-04-24 01:05:38.000,S,Ujjain-Jhalawar(Binda),"24.418694, 76.188203"
RJ02GD1001,2025-04-24 00:15:31.000,N,Beer Mandi Toll Plaza,"24.642639, 76.027472"
RJ02GD1001,2025-04-24 02:42:16.000,N,Semalkhedi Fee Plaza,"23.873788,76.107003"
RJ02GD1001,2025-04-24 08:18:10.000,N,Nipaniya Fee Plaza,"23.300828,75.827876"
RJ02GD1001,2025-04-22 11:13:43.000,S,Titoli,"26.7704556,76.3391978"
RJ02GD1001,2025-04-23 15:16:08.000,S,Kusthala Toll Plaza,"25.968464980634522, 76.25313572334733"
RJ02GD1001,2025-04-23 22:32:07.000,S,Gopalpura Toll Plaza,"24.906725,75.960856"
RJ02GD1001,2025-04-21 23:48:54.000,S,Bhandaraj Fee Plaza,"26.916680, 76.432023"
RJ11GD3601,2025-04-23 22:39:11.000,S,PamPamPallam Toll Plaza,"10.8131538,76.7957998"
RJ11GD3601,2025-04-21 16:18:48.000,E,Omalur Toll Plaza,"11.72034,78.07338"
RJ11GD3601,2025-04-21 19:35:17.000,W,Neelambur,"11.060944,77.088928"
RJ11GD3601,2025-04-21 20:09:18.000,W,Pollachi Salem Toll Plaza,"10.921531,76.989327"
RJ11GD3601,2025-04-21 20:19:17.000,W,Madukkarai,"10.895638,76.945815"
RJ11GD3601,2025-04-24 00:11:58.000,E,Trichy Cochin,"11.005088,77.069038"
RJ11GD3601,2025-04-21 19:44:35.000,W,Trichy Salem,"11.012859,77.073174"
RJ11GD3601,2025-04-21 19:49:13.000,W,Trichy Cochin,"11.005088,77.069038"
RJ11GD3601,2025-04-21 23:08:03.000,W,Paniyankara Toll Plaza,"10.590814,76.458274"
RJ11GD3601,2025-04-23 23:42:48.000,E,Madukkarai,"10.895638,76.945815"
RJ11GD3601,2025-04-23 23:53:23.000,E,Pollachi Salem Toll Plaza,"10.921531,76.989327"
RJ11GD3601,2025-04-24 00:14:32.000,E,Trichy Salem,"11.012859,77.073174"
RJ11GD3601,2025-04-24 00:23:05.000,E,Neelambur,"11.060944,77.088928"
RJ11GD3601,2025-04-24 13:33:26.000,W,Omalur Toll Plaza,"11.72034,78.07338"
RJ11GD3601,2025-04-21 20:13:32.000,W,Pollachi Cochin Toll Plaza,"10.914016,76.982178"
RJ11GD3601,2025-04-21 20:44:33.000,N,PamPamPallam Toll Plaza,"10.8131538,76.7957998"
RJ11GD3601,2025-04-23 21:37:50.000,E,Paniyankara Toll Plaza,"10.590814,76.458274"
RJ11GD3601,2025-04-23 23:50:01.000,E,Pollachi Cochin Toll Plaza,"10.914016,76.982178"
RJ11GD3601,2025-04-21 18:23:11.000,W,Vijayamangalam Toll Plaza,"11.245714,77.519702"
RJ11GD3601,2025-04-21 19:22:59.000,W,IVRCL Chengapally Tollways Li,"11.012852,77.073167"
RJ11GD3601,2025-04-24 00:33:10.000,E,IVRCL Chengapally Tollways Li,"11.012852,77.073167"
RJ11GD3601,2025-04-24 11:14:03.000,E,Vijayamangalam Toll Plaza,"11.245714,77.519702"
RJ11GD3601,2025-04-24 14:22:46.000,S,L&T Krishnagiri Thopur Toll P,"12.00638,78.08008"
RJ11GD3601,2025-04-24 15:37:20.000,S,Krishnagiri Plaza,"12.544583,78.201132"
RJ11GD3601,2025-04-21 17:08:14.000,W,Vaiguntham Toll Plaza,"11.513282,77.923946"
RJ11GD3601,2025-04-24 12:41:44.000,E,Vaiguntham Toll Plaza,"11.513282,77.923946"
RJ11GD8501,2025-04-24 07:09:24.000,W,Omalur Toll Plaza,"11.72034,78.07338"
RJ11GD8501,2025-04-23 21:37:29.000,S,Etturvattam Toll Plaza,"9.385445,77.914347"
RJ11GD8501,2025-04-23 23:14:23.000,N,Kappalur,"9.844294,78.011209"
RJ11GD8501,2025-04-24 00:17:01.000,S,Kozhinjiipatti Plaza,"10.194334,77.909215"
RJ11GD8501,2025-04-24 01:48:45.000,N,Velanchettiyur,"10.6990089,77.93067"
RJ11GD8501,2025-04-24 03:30:53.000,N,Rasampalayam Plaza,"11.193895,78.103219"
RJ11GD8501,2025-04-24 08:10:57.000,S,L&T Krishnagiri Thopur Toll P,"12.00638,78.08008"
RJ11GD8501,2025-04-24 15:28:13.000,S,Krishnagiri Plaza,"12.544583,78.201132"
RJ14GK6921,2025-04-22 08:04:16.000,N,Pullur Toll Plaza,"15.887742,78.016978"
RJ14GK6921,2025-04-23 07:35:10.000,E,Omalur Toll Plaza,"11.72034,78.07338"
RJ14GK6921,2025-04-21 19:42:57.000,W,Shamshabad,"17.151163, 78.224438"
RJ14GK6921,2025-04-21 20:34:36.000,S,Raikal Toll Plaza,"17.005867,78.194493"
RJ14GK6921,2025-04-21 21:58:49.000,N,Sakapur Toll plaza,"16.5356759,77.9444736"
RJ14GK6921,2025-04-22 18:49:02.000,E,Nalluru Devanahalli,"13.206308, 77.765553"
RJ14GK6921,2025-04-23 01:39:10.000,N,L&T Krishnagiri Thopur Toll P,"12.00638,78.08008"
RJ14GK6921,2025-04-23 10:15:31.000,W,Vijayamangalam Toll Plaza,"11.245714,77.519702"
RJ14GK6921,2025-04-24 07:57:23.000,E,IVRCL Chengapally Tollways Li,"11.012852,77.073167"
RJ14GK6921,2025-04-23 00:08:26.000,N,Krishnagiri Plaza,"12.544583,78.201132"
RJ14GK6921,2025-04-22 16:45:19.000,S,Bagepalli Toll Plaza,"13.79295,77.764358"
RJ14GK6921,2025-04-23 08:37:45.000,W,Vaiguntham Toll Plaza,"11.513282,77.923946"
RJ14GK6921,2025-04-22 14:24:57.000,N,Marur Toll Plaza,"14.5020891,77.6312667"
RJ14GK6921,2025-04-22 12:39:49.000,N,Kasepalli Toll Plaza,"15.061754,77.630328"
RJ14GK6921,2025-04-22 11:11:36.000,N,Amakthadu Toll Plaza,"15.486433,77.901078"
TN03AF4518,2025-04-22 23:46:45.000,S,Vaniyambadi Toll Plaza,"12.648554,78.5833"
TN03AF4518,2025-04-23 00:42:46.000,N,Pallikonda Toll Plaza,"12.905829,78.951686"
TN03AF4518,2025-04-23 03:05:53.000,N,SriPerumbadur,"12.982155,79.968944"
TN03AF4518,2025-04-22 22:37:56.000,N,Krishnagiri Plaza,"12.544583,78.201132"
TN03AF4518,2025-04-23 01:37:47.000,S,Chennasamaduram Toll Plaza,"12.910943,79.40121"
TN03AF4518,2025-04-23 17:16:58.000,N,SURAPATTU TOLL PLAZA,"13.136678,80.181624"
TN03AF4518,2025-04-23 17:34:56.000,S,Mathur Toll Plaza,"13.1762697,80.2447934"
TN03AF4518,2025-04-23 21:28:38.000,S,Mathur Toll Plaza,"13.1762697,80.2447934"
