vehicle_reg_no,transaction_date_time,lane_direction,toll_plaza_name,toll_plaza_geocode
TN28BL4725,2025-05-13 13:42:21.000,S,IDTL Toll Plaza-A,"22.822692,75.938208"
KA01AF5977,2025-05-13 12:21:39.000,S,Chinthamani Toll Plaza,"9.8767572,78.1349936"
KA01AF5977,2025-05-13 14:39:07.000,N,Boothakudi Toll Plaza,"10.64127,78.581277"
KA01AF5977,2025-05-13 12:10:52.000,S,Valayangulam Toll Plaza,"9.8266107,78.0823004"
KA01AF5977,2025-05-13 15:25:03.000,N,Samayapuram Toll Plaza,"10.92937,78.744056"
TN88U9091,2025-05-13 15:51:22.000,S,L&T Krishnagiri Thopur Toll P,"12.00638,78.08008"
HR55AM6256,2025-05-10 12:56:29.000,S,Kamthana Toll Plaza,"17.845891,77.448414"
MH04KF7489,2025-05-13 07:32:00.000,N,Kamkole,"17.6457252,77.8198176"
MH04KF7489,2025-05-13 09:56:35.000,W,Tukkuguda,"17.121063, 78.283524"
MH43BX0682,2025-05-10 11:59:42.000,S,IDTL Toll Plaza-A,"22.822692,75.938208"
MH04KF9683,2025-05-13 13:40:33.000,S,Arjunalli toll plaza,"19.361481,73.165874"
MH04KF9683,2025-05-13 16:05:40.000,E,Shilphata NH48 Toll Plaza,"19.097790,73.071728"
MH04KF9683,2025-05-13 09:35:39.000,S,Pimpri Sadruddin Toll Plaza,"19.676166, 73.566280"
MH04LE2587,2025-05-10 13:06:10.000,N,Kamthana Toll Plaza,"17.845891,77.448414"
NL01AH5592,2025-05-10 13:16:32.000,S,Kamthana Toll Plaza,"17.845891,77.448414"
NL01AH5592,2025-05-13 14:43:41.000,W,Pedda Amberpet,"17.319992, 78.655881"
NL01AH5592,2025-05-13 16:16:26.000,S,Pantangi,"17.232887,78.960464"
RJ14GQ2685,2025-05-10 09:17:08.000,S,Aaspur Toll Plaza,"27.48692,78.79217"
TN39CS0327,2025-05-10 13:38:00.000,W,Bakrol Toll Plaza,"22.935230, 72.519760"
MH04KU7968,2025-05-10 02:45:44.000,S,HSTL TP04- Gajan,"23.5051103,73.3033763"
MH04KU7968,2025-05-10 01:59:59.000,S,HSTL TP03- Galiya Danti,"23.3639618,73.5152351"
TN39CB8831,2025-05-10 14:05:27.000,W,Vijayamangalam Toll Plaza,"11.245714,77.519702"
TN28BH7868,2025-05-10 14:16:21.000,N,Kozhinjiipatti Plaza,"10.194334,77.909215"
TN28BH7868,2025-05-13 09:16:49.000,S,Kozhinjiipatti Plaza,"10.194334,77.909215"
MH46BF3072,2025-05-10 14:29:51.000,N,Kamthana Toll Plaza,"17.845891,77.448414"
NL01N7474,2025-05-10 14:46:56.000,S,Kamthana Toll Plaza,"17.845891,77.448414"
GJ27TD5950,2025-05-13 11:04:16.000,S,Nashik Sinner Tollways Limited,"19.9119216,73.9006299"
GJ27TD5950,2025-05-13 09:01:21.000,S,Hiwargaon pavasa toll plaza,"19.514777,74.2013655"
GJ27TD5950,2025-05-13 13:41:37.000,S,Chachadgaon Toll Plaza,"20.223616, 73.664849"
GJ27TD5950,2025-05-13 07:49:22.000,N,Chalakwadi  toll plaza,"19.1700886,74.0751759"
TN52AA2347,2025-05-10 15:20:34.000,N,Kozhinjiipatti Plaza,"10.194334,77.909215"
MH12QW8951,2025-05-09 15:11:23.000,S,Ainoli Toll Plaza,"17.503027,77.431011"
GJ01HT7700,2025-05-10 01:42:43.000,N,Kamthana Toll Plaza,"17.845891,77.448414"
GJ01HT7700,2025-05-10 15:37:06.000,E,Bakrol Toll Plaza,"22.935230, 72.519760"
NL01AH8235,2025-05-10 15:43:11.000,S,Kamthana Toll Plaza,"17.845891,77.448414"
NL01AH8235,2025-05-12 18:34:40.000,S,MANESHAR-7A,"28.326367,76.890515"
TN42AE5859,2025-05-10 15:47:10.000,W,Vijayamangalam Toll Plaza,"11.245714,77.519702"
HR55AL2073,2025-05-09 21:22:57.000,S,Ainoli Toll Plaza,"17.503027,77.431011"
HR55AL2073,2025-05-13 07:52:22.000,E,Nalluru Devanahalli,"13.206308, 77.765553"
MH04KF7480,2025-05-13 12:21:08.000,N,Arjunalli toll plaza,"19.361481,73.165874"
MH48CB7463,2025-05-13 15:04:14.000,N,Achhad Border Checkpost,"20.07538,72.913338"
MH48CB7463,2025-05-13 13:19:03.000,N,Charoti Toll Plaza,"19.890544,72.942644"
MH48CB7463,2025-05-13 12:17:10.000,N,Khaniwade Toll Plaza,"19.519667,72.916898"
MH48CB7463,2025-05-10 16:17:15.000,S,Khaniwade Toll Plaza,"19.519667,72.916898"
HR55AP1957,2025-05-13 11:55:50.000,N,Shahjahanpur Toll Plaza,"27.99978,76.430522"
HR55AP1957,2025-05-10 16:19:58.000,S,Manoharpura Toll plaza,"27.3056399,75.9535128"
HR55Y2559,2025-05-10 16:34:01.000,S,Shahjahanpur Toll Plaza,"27.99978,76.430522"
RJ32GC9157,2025-05-10 16:37:48.000,N,Shahjahanpur Toll Plaza,"27.99978,76.430522"
MH26BE9234,2025-05-13 13:06:38.000,E,Maliwadi TP,"19.600875, 75.614882"
MH26BE9234,2025-05-10 16:42:20.000,N,Kamthana Toll Plaza,"17.845891,77.448414"
GJ27TT2430,2025-05-10 16:43:25.000,N,IDTL Toll Plaza-B,"22.959586,76.084165"
RJ23GD7811,2025-05-10 16:49:42.000,S,Arjunalli toll plaza,"19.361481,73.165874"
NL01AC3848,2025-05-10 14:09:08.000,S,THIRUMANDURAI TOLL PLAZA,"11.396808,78.99356"
NL01AC3848,2025-05-10 17:08:56.000,E,Manavasi Plaza,"10.931722,78.218401"
MH04JK1041,2025-05-10 17:09:57.000,N,Arjunalli toll plaza,"19.361481,73.165874"
TN88AZ7659,2025-05-10 17:13:37.000,S,Bhatia  Toll Plaza,"21.090354,72.922502"
TN88AZ7659,2025-05-13 16:02:53.000,S,Boriach Toll Plaza,"20.885548,73.052162"
KA01AJ8492,2025-05-10 17:25:23.000,N,Sullurpet Plaza (NH-16),"13.744936,79.990993"
RJ09GB5539,2025-05-10 15:41:31.000,S,Charoti Toll Plaza,"19.890544,72.942644"
RJ09GB5539,2025-05-10 17:29:42.000,S,Khaniwade Toll Plaza,"19.519667,72.916898"
NL01AG5592,2025-05-10 17:31:01.000,W,TASAWADE TOLL PLAZA,"17.365756,74.122928"
NL01N6807,2025-05-10 17:38:12.000,S,Kamthana Toll Plaza,"17.845891,77.448414"
TN39CS3121,2025-05-09 03:44:57.000,S,Kamthana Toll Plaza,"17.845891,77.448414"
TN39CS3121,2025-05-10 17:43:28.000,W,Choryasi Toll Plaza,"21.303367,72.95418"
TN39CS3121,2025-05-13 10:19:38.000,S,Bhatia  Toll Plaza,"21.090354,72.922502"
TN39CS3121,2025-05-10 16:26:16.000,S,Mandva Toll Plaza,"21.7016001,73.0609234"
TN20DH4923,2025-05-10 17:51:17.000,N,Kamthana Toll Plaza,"17.845891,77.448414"
TN20DH4923,2025-05-10 16:23:13.000,N,Gadanki toll plaza,"13.478827, 79.188024"
TN39CQ8125,2025-05-10 17:58:49.000,N,Kamthana Toll Plaza,"17.845891,77.448414"
MH46BM0473,2025-05-10 16:22:04.000,N,Kini Toll Plaza,"16.8767054,74.2983001"
MH46BM0473,2025-05-10 18:05:38.000,W,TASAWADE TOLL PLAZA,"17.365756,74.122928"
MH04LQ5467,2025-05-10 18:10:38.000,N,Shahjahanpur Toll Plaza,"27.99978,76.430522"
MH04LQ5467,2025-05-13 16:02:48.000,S,Shahjahanpur Toll Plaza,"27.99978,76.430522"
RJ52GA6057,2025-05-10 18:13:03.000,S,Khaniwade Toll Plaza,"19.519667,72.916898"
MH04LY2778,2025-05-10 16:46:12.000,E,SONWAY Toll Plaza,"22.6118196,75.7764414"
MH04LY2778,2025-05-10 18:14:18.000,S,IDTL Toll Plaza-A,"22.822692,75.938208"
HR55AH7894,2025-05-13 13:33:05.000,S,Bhagan Toll Plaza,"29.071744,77.0601904"
HR55AH7894,2025-05-10 17:36:52.000,N,Bhagan Toll Plaza,"29.071744,77.0601904"
HR55AH7894,2025-05-10 18:29:20.000,S,L&T PANIPAT,"29.433664,76.97014"
HR55AH7894,2025-05-13 12:00:40.000,N,L&T PANIPAT,"29.433664,76.97014"
HR55AH7894,2025-05-10 16:30:47.000,S,Kundali,"28.911104,77.025054"
MH14JL6767,2025-05-10 18:33:43.000,E,Dehuroad NH48 Toll Plaza,"18.700286,73.692154"
HR38AB6524,2025-05-10 16:57:03.000,S,GABHANA Tollplaza,"28.062821,77.946047"
HR38AB6524,2025-05-10 18:38:54.000,S,LUHARLI Toll plaza,"28.499246,77.627269"
HR38AB6524,2025-05-10 08:52:22.000,S,Aaspur Toll Plaza,"27.48692,78.79217"
RJ52GB0025,2025-05-10 17:19:50.000,E,Daulatpura Toll Plaza,"27.0868994,75.8345568"
RJ52GB0025,2025-05-10 18:49:07.000,S,Manoharpura Toll plaza,"27.3056399,75.9535128"
RJ52GB0025,2025-05-10 14:57:30.000,S,Sitarampura Toll Plaza,"26.7473,75.7686"
MH04KU7973,2025-05-10 18:50:14.000,N,Shahjahanpur Toll Plaza,"27.99978,76.430522"
TN11P2832,2025-05-10 19:00:02.000,N,Sullurpet Plaza (NH-16),"13.744936,79.990993"
TN11P2832,2025-05-10 16:19:50.000,N,Kolappancheri,"13.070524,80.071587"
TN11P2832,2025-05-10 16:33:05.000,N,Palavedu,"13.140047,80.0530363"
TN11P2832,2025-05-10 16:58:33.000,N,Nallur Toll Plaza,"13.216958,80.169353"
RJ10GB6541,2025-05-10 17:47:50.000,N,AMTL-TP-01 Vasna-Iyava,"23.0073, 72.3477"
RJ10GB6541,2025-05-10 19:05:12.000,W,Bakrol Toll Plaza,"22.935230, 72.519760"
RJ10GB6541,2025-05-10 18:28:16.000,S,Sanathal Toll Plaza,"22.974110, 72.473050"
MH46AR2810,2025-05-10 19:06:54.000,S,Arjunalli toll plaza,"19.361481,73.165874"
UP75AT0101,2025-05-10 19:10:12.000,N,Tundla Toll Plaza ,"27.218247,78.272821"
UP75AT0101,2025-05-13 06:57:12.000,E,ALEP Ramp Plaza220,"26.912105,80.027101"
UP75AT0101,2025-05-13 15:13:03.000,S,Baiti Kala Plaza,"26.054337 ,82.339392"
UP75AT0101,2025-05-13 10:43:32.000,N,Bara Toll Plaza,"26.6294023,81.3329506"
UP75AT0101,2025-05-13 13:49:43.000,E,Asroga Toll Plaza,"26.301062,81.9459196"
HR55Y0403,2025-05-10 19:14:54.000,N,Gharonda Toll Plaza,"29.582281,76.978398"
HR55Y0403,2025-05-13 15:25:43.000,S,Gharonda Toll Plaza,"29.582281,76.978398"
NL01AG0019,2025-05-10 19:21:35.000,N,Shahjahanpur Toll Plaza,"27.99978,76.430522"
HR38AD5021,2025-05-10 17:43:53.000,S,Gurau (Formerly Semra Atikaba,"26.996524,78.777334"
HR38AD5021,2025-05-10 18:56:47.000,S,Tundla Toll Plaza ,"27.218247,78.272821"
HR38AD5021,2025-05-13 06:30:44.000,N,Mahuvan Toll Plaza,"27.337188,77.737458"
HR38AD5021,2025-05-13 07:53:31.000,N,Karman Toll Plaza,"27.855460, 77.402640"
HR38AD5021,2025-05-10 19:25:16.000,N,Rehan Kalan Toll Plaza,"27.1888,78.00405"
GJ01DZ2452,2025-05-10 17:04:56.000,S,Fanda toll plaza,"23.2245025,77.1907789"
GJ01DZ2452,2025-05-10 17:52:17.000,S,Amlaha toll plaza,"23.1021426,76.875811"
GJ01DZ2452,2025-05-10 19:26:15.000,S,Bhourasa Toll Plaza,"22.9751708,76.2184202"
GJ01DZ2452,2025-05-13 10:28:03.000,S,Dewas By pass Toll Plaza,"22.929,76.0463"
GJ01DZ2452,2025-05-10 06:14:50.000,S,11 miles Toll Plaza,"23.1415030,77.4854990"
GJ01DZ2452,2025-05-10 15:19:40.000,S,11 miles Toll Plaza,"23.1415030,77.4854990"
GJ01DZ2452,2025-05-10 16:26:25.000,S,Mubarakpur Toll Plaza,"23.310689,77.319815"
HR38V9918,2025-05-10 19:35:50.000,N,Dalsagar Toll Plaza,"25.580548, 84.060688"
HR55AC1138,2025-05-10 19:54:29.000,S,Shahjahanpur Toll Plaza,"27.99978,76.430522"
TN88J0382,2025-05-10 19:58:45.000,S,Pudurpandiyapuram,"8.862935,78.117106"
MH04JK3841,2025-05-10 20:06:33.000,S,Pimpri Sadruddin Toll Plaza,"19.676166, 73.566280"
TN88U9349,2025-05-10 20:15:54.000,W,Choryasi Toll Plaza,"21.303367,72.95418"
TN88U9349,2025-05-10 17:19:28.000,S,Mandva Toll Plaza,"21.7016001,73.0609234"
UP78GN6657,2025-05-10 17:48:47.000,S,Vasad,"22.453302,73.070523"
UP78GN6657,2025-05-10 18:57:44.000,S,Kheda,"22.715938,72.740905"
UP78GN6657,2025-05-10 20:16:47.000,E,Bakrol Toll Plaza,"22.935230, 72.519760"
MH04LE5389,2025-05-10 16:25:22.000,S,Ghoti toll plaza,"19.708905,73.614819"
MH04LE5389,2025-05-10 20:32:46.000,S,Arjunalli toll plaza,"19.361481,73.165874"
TN09CT3634,2025-05-10 18:43:21.000,S,Nazirakhat Toll Plaza," 26.121161,91.938698"
TN09CT3634,2025-05-10 20:35:35.000,S,Raha,"26.245792,92.541470"
TN18AP4764,2025-05-10 18:36:17.000,S,Nellore Plaza (NH- 16),"14.312218,79.916296"
TN18AP4764,2025-05-10 19:39:30.000,S,Budhanam Plaza (NH- 16),"14.059589,79.894624"
TN18AP4764,2025-05-10 20:36:58.000,S,Sullurpet Plaza (NH-16),"13.744936,79.990993"
TN18AP4764,2025-05-10 05:25:07.000,N,Kaza Toll Plaza Mangalgiri,"16.3856,80.53367"
TN18AP4764,2025-05-13 15:45:51.000,S,Kolappancheri,"13.070524,80.071587"
TN18AP4764,2025-05-13 15:24:36.000,S,Palavedu,"13.140047,80.0530363"
TN18AP4764,2025-05-13 14:58:15.000,S,Nallur Toll Plaza,"13.216958,80.169353"
MH46CL2270,2025-05-10 18:54:57.000,S,Ghoti toll plaza,"19.708905,73.614819"
MH46CL2270,2025-05-10 20:44:53.000,S,Arjunalli toll plaza,"19.361481,73.165874"
MH46CL2270,2025-05-10 16:47:07.000,N,Chandwad toll plaza,"20.325219,74.210736"
MH46CL2270,2025-05-10 17:24:45.000,S,Baswant Toll Plaza,"20.141754,73.9764485"
MP09GH4058,2025-05-10 20:58:28.000,N,IDTL Toll Plaza-B,"22.959586,76.084165"
MP09GH4058,2025-05-10 16:55:42.000,S,Fanda toll plaza,"23.2245025,77.1907789"
MP09GH4058,2025-05-10 17:47:39.000,S,Amlaha toll plaza,"23.1021426,76.875811"
MP09GH4058,2025-05-10 20:00:44.000,S,Bhourasa Toll Plaza,"22.9751708,76.2184202"
MP09GH4058,2025-05-10 20:31:34.000,N,Dewas By pass Toll Plaza,"22.929,76.0463"
MP09GH4058,2025-05-10 11:13:06.000,S,Mubarakpur Toll Plaza,"23.310689,77.319815"
MP09GH4058,2025-05-10 16:28:00.000,S,Mubarakpur Toll Plaza,"23.310689,77.319815"
HP12R8023,2025-05-10 21:04:18.000,S,Satbhaiya Fee Toll Plaza,"26.687394, 88.2310881"
RJ32GC7078,2025-05-10 17:40:35.000,S,GABHANA Tollplaza,"28.062821,77.946047"
RJ32GC7078,2025-05-10 21:05:32.000,N,Kurana Toll Plaza,"28.6278,77.7849"
MH46BU3109,2025-05-10 21:08:19.000,N,Shahjahanpur Toll Plaza,"27.99978,76.430522"
MH46BU3109,2025-05-10 15:40:00.000,S,Manoharpura Toll plaza,"27.3056399,75.9535128"
MH14HG1138,2025-05-10 18:29:25.000,N,Sawaleshwar Toll Plaza ,"17.7643864,75.7558759"
MH14HG1138,2025-05-10 20:19:06.000,N,Varwade Toll Plaza,"17.957556,75.330977"
MH14HG1138,2025-05-10 21:08:34.000,N,Sardewadi Plaza,"18.096508,75.0661222"
MH14HG1138,2025-05-10 16:57:53.000,N,Phulwadi Toll Plaza,"17.7991202,76.1933353"
TN88U2669,2025-05-13 09:09:44.000,N,Chinthamani Toll Plaza,"9.8767572,78.1349936"
TN88U2669,2025-05-10 17:28:48.000,S,Rasampalayam Plaza,"11.193895,78.103219"
TN88U2669,2025-05-10 19:45:37.000,S,Velanchettiyur,"10.6990089,77.93067"
TN88U2669,2025-05-10 21:09:39.000,N,Kozhinjiipatti Plaza,"10.194334,77.909215"
TN88U2669,2025-05-13 10:21:43.000,S,Elliyarpathy,"9.78299,78.094492"
MH15GV8718,2025-05-10 21:18:44.000,N,Ghoti toll plaza,"19.708905,73.614819"
RJ32GC5787,2025-05-10 21:27:11.000,N,Shahjahanpur Toll Plaza,"27.99978,76.430522"
CH01TB2631,2025-05-10 21:27:21.000,S,Kulhariya fee plaza,"25.580560, 84.768610"
CH01TB2631,2025-05-10 11:55:12.000,S,Babhaniyawan Toll Plaza,"25.498322, 84.488333"
NL01AC9073,2025-05-10 21:27:46.000,N,Shahjahanpur Toll Plaza,"27.99978,76.430522"
NL01AC9073,2025-05-10 17:00:54.000,E,Daulatpura Toll Plaza,"27.0868994,75.8345568"
NL01AC9073,2025-05-10 18:52:26.000,S,Manoharpura Toll plaza,"27.3056399,75.9535128"
DD01R9514,2025-05-10 20:26:40.000,N,Bhagan Toll Plaza,"29.071744,77.0601904"
DD01R9514,2025-05-10 21:33:21.000,N,Gharonda Toll Plaza,"29.582281,76.978398"
DD01R9514,2025-05-10 21:12:56.000,S,L&T PANIPAT,"29.433664,76.97014"
DD01R9514,2025-05-10 17:05:05.000,N,Shahjahanpur Toll Plaza,"27.99978,76.430522"
DD01R9514,2025-05-10 19:52:58.000,S,Kundali,"28.911104,77.025054"
WB05A4093,2025-05-10 18:57:19.000,N,Beliyad toll plaza  ,"23.763627,86.79803"
WB05A4093,2025-05-10 21:40:45.000,N,Banskopa Plaza,"23.4916993,87.3768623"
WB05A4093,2025-05-10 17:19:27.000,N,Ghanghri Toll Plaza,"24.030088,85.948654"
MH04LE5910,2025-05-10 21:44:13.000,S,Arjunalli toll plaza,"19.361481,73.165874"
MH04LE5910,2025-05-13 10:04:35.000,E,Shilphata NH48 Toll Plaza,"19.097790,73.071728"
MH04LE5910,2025-05-13 14:31:26.000,W,Shilphata NH48 Toll Plaza,"19.097790,73.071728"
MH04LE6138,2025-05-13 15:02:35.000,S,Etturvattam Toll Plaza,"9.385445,77.914347"
MH04LE6138,2025-05-10 21:48:36.000,S,VAGAIKULAM  Toll Plaza,"8.7362399,78.0238105"
RJ09GB5542,2025-05-10 18:14:30.000,S,Kishangarh Plaza,"26.595329,74.939169"
RJ09GB5542,2025-05-10 21:48:49.000,S,Manoharpura Toll plaza,"27.3056399,75.9535128"
MH04HS1593,2025-05-10 17:36:11.000,S,Achhad Border Checkpost,"20.07538,72.913338"
MH04HS1593,2025-05-10 20:43:25.000,S,Charoti Toll Plaza,"19.890544,72.942644"
MH04HS1593,2025-05-10 21:50:38.000,S,Khaniwade Toll Plaza,"19.519667,72.916898"
HR65A4448,2025-05-10 21:59:08.000,S,Kulhariya fee plaza,"25.580560, 84.768610"
KA51AH6612,2025-05-10 22:00:04.000,S,Budhanam Plaza (NH- 16),"14.059589,79.894624"
KA51AH6612,2025-05-10 17:26:01.000,S,Musunur Toll Plaza,"14.851945,79.987847"
KA51AH6612,2025-05-10 19:13:21.000,S,Nellore Plaza (NH- 16),"14.312218,79.916296"
RJ14GQ0602,2025-05-10 18:17:11.000,W,Khedi,"26.1029659,74.6849376"
RJ14GQ0602,2025-05-10 11:33:22.000,N,Nayagaon,"24.572623,74.761591"
RJ14GQ0602,2025-05-10 22:09:11.000,S,Kishangarh Plaza,"26.595329,74.939169"
HR55AN9654,2025-05-13 15:46:51.000,N,Musunur Toll Plaza,"14.851945,79.987847"
HR55AN9654,2025-05-10 16:43:07.000,S,Budhanam Plaza (NH- 16),"14.059589,79.894624"
HR55AN9654,2025-05-10 22:10:25.000,S,Sullurpet Plaza (NH-16),"13.744936,79.990993"
HR55AN9654,2025-05-13 10:11:26.000,N,Sullurpet Plaza (NH-16),"13.744936,79.990993"
HR55AN9654,2025-05-13 13:18:31.000,N,Nellore Plaza (NH- 16),"14.312218,79.916296"
HR55AN9654,2025-05-13 12:40:00.000,N,Budhanam Plaza (NH- 16),"14.059589,79.894624"
WB05B3284,2025-05-10 22:16:29.000,S,Arjunalli toll plaza,"19.361481,73.165874"
WB05B3284,2025-05-10 19:02:10.000,S,Pimpri Sadruddin Toll Plaza,"19.676166, 73.566280"
MH04LE2588,2025-05-10 12:58:06.000,N,ATTIBELLE ,"12.776883,77.777119"
MH04LE2588,2025-05-10 19:41:40.000,S,Mysore Road (P5) Plaza,"12.903583,77.470028"
MH04LE2588,2025-05-10 22:21:17.000,S,Gananguru Toll Plaza,"12.472697,76.760373"
MH04LE2588,2025-05-10 19:54:50.000,S,Kaniminike Toll Plaza,"12.859600, 77.431110"
RJ10GB2423,2025-05-10 20:15:18.000,N,Beliyad toll plaza  ,"23.763627,86.79803"
RJ10GB2423,2025-05-10 22:25:05.000,N,Banskopa Plaza,"23.4916993,87.3768623"
RJ10GB2423,2025-05-10 18:11:42.000,N,Ghanghri Toll Plaza,"24.030088,85.948654"
TN73Q6456,2025-05-10 22:26:16.000,E,Vijayamangalam Toll Plaza,"11.245714,77.519702"
HR38AH7446,2025-05-10 21:22:29.000,W,TASAWADE TOLL PLAZA,"17.365756,74.122928"
HR38AH7446,2025-05-10 22:31:01.000,E,Anewadi Toll Plaza,"17.810312,73.971381"
HR38AH7446,2025-05-13 15:17:56.000,N,Undewadi Toll Plaza ,"18.271041, 74.525696"
HR38V3919,2025-05-10 19:00:46.000,N,Raje Toll Plaza (T-2),"26.225144,86.150263"
HR38V3919,2025-05-10 20:27:45.000,N,Maithi,"26.112648,85.564827"
HR38V3919,2025-05-10 22:52:37.000,S,Saidpur Patedha Toll Plaza,"25.8024478,85.2834059"
MH04LE5873,2025-05-10 16:43:45.000,N,Laling toll plaza,"20.833039,74.754271"
MH04LE5873,2025-05-10 17:26:34.000,S,Songir,"21.050768,74.784939"
MH04LE5873,2025-05-10 18:08:07.000,N,Shirpur,"21.319733,74.889272"
MH04LE5873,2025-05-10 20:52:42.000,S,Jamli Toll Pllaza,"21.75667,75.156824"
MH04LE5873,2025-05-10 23:02:30.000,E,Khalghat Toll Plaza ,"22.173782,75.456797"
MH04LE5873,2025-05-10 18:50:15.000,N,Hadakhed Border Checkpost,"21.2538,74.5846"
WB05A1514,2025-05-10 21:37:10.000,N,Balibhasa Toll Plaza,"22.34462627,87.12665241"
WB05A1514,2025-05-10 23:08:47.000,W,Debra toll plaza,"22.397144,87.522855"
WB05A1514,2025-05-10 20:06:20.000,N,Jharpokharia Toll Plaza,"22.180518, 86.636253"
TN28BJ3944,2025-05-10 17:10:18.000,E,Paniyankara Toll Plaza,"10.590814,76.458274"
TN28BJ3944,2025-05-10 19:03:05.000,S,PamPamPallam Toll Plaza,"10.8131538,76.7957998"
TN28BJ3944,2025-05-10 21:19:37.000,E,Pollachi Salem Toll Plaza,"10.921531,76.989327"
TN28BJ3944,2025-05-10 21:58:50.000,E,Neelambur,"11.060944,77.088928"
TN28BJ3944,2025-05-10 21:06:40.000,E,Madukkarai,"10.895638,76.945815"
TN28BJ3944,2025-05-10 21:14:31.000,E,Pollachi Cochin Toll Plaza,"10.914016,76.982178"
TN28BJ3944,2025-05-10 21:49:06.000,E,Trichy Salem,"11.012859,77.073174"
TN28BJ3944,2025-05-10 21:42:11.000,E,Trichy Cochin,"11.005088,77.069038"
TN28BJ3944,2025-05-10 22:09:15.000,E,IVRCL Chengapally Tollways Li,"11.012852,77.073167"
TN28BJ3944,2025-05-10 23:19:29.000,E,Vijayamangalam Toll Plaza,"11.245714,77.519702"
HR47F7610,2025-05-10 23:40:54.000,N,Shahjahanpur Toll Plaza,"27.99978,76.430522"
HR47F7610,2025-05-12 16:10:49.000,S,Kundali,"28.911104,77.025054"
RJ14GG2575,2025-05-10 22:01:30.000,S,Nazirakhat Toll Plaza," 26.121161,91.938698"
RJ14GG2575,2025-05-10 23:42:49.000,S,Raha,"26.245792,92.541470"
RJ14GP6909,2025-05-10 23:19:07.000,S,Nekawala Toll Plaza,"27.242389, 76.0639"
RJ14GP6909,2025-05-10 17:01:39.000,N,Indragarh Toll Plaza,"25.743931, 76.168992"
RJ14GP6909,2025-05-10 23:49:03.000,S,Manoharpura Toll plaza,"27.3056399,75.9535128"
RJ14GP6909,2025-05-10 20:25:29.000,S,Badkapara Split Plaza,"26.524959,76.251544"
